"Name","Version","License"
"Automat","22.10.0","MIT License"
"Babel","2.10.3","BSD License"
"Jinja2","3.1.2","BSD License"
"MarkupSafe","2.1.5","BSD License"
"PyGObject","3.48.2","GNU Lesser General Public License v2 or later (LGPLv2+)"
"PyHamcrest","2.1.0","BSD License"
"PyJWT","2.7.0","MIT License"
"PyYAML","6.0.1","MIT License"
"Pygments","2.17.2","BSD License"
"Twisted","24.3.0","MIT License"
"WALinuxAgent","2.11.1.4","Apache License Version 2.0"
"argcomplete","3.6.3","Apache Software License"
"attrs","23.2.0","MIT"
"bcc","0.29.1","UNKNOWN"
"bcrypt","3.2.2","Apache Software License"
"blinker","1.7.0","MIT License"
"boto3","1.34.46","Apache Software License"
"botocore","1.34.46","Apache Software License"
"certifi","2023.11.17","Mozilla Public License 2.0 (MPL 2.0)"
"chardet","5.2.0","GNU Lesser General Public License v2 or later (LGPLv2+)"
"click","8.1.6","BSD License"
"cloud-init","25.3","Dual-licensed under GPLv3 or Apache 2.0"
"colorama","0.4.6","BSD-3-Clause"
"command-not-found","0.3","UNKNOWN"
"configobj","5.0.8","BSD License"
"constantly","23.10.4","MIT License"
"cryptography","41.0.7","Apache Software License; BSD License"
"cryptography","41.0.7","Apache Software License; BSD License"
"dbus-python","1.3.2","MIT License"
"distro","1.9.0","Apache Software License"
"distro-info","1.7+build1","UNKNOWN"
"httplib2","0.20.4","MIT License"
"hyperlink","21.0.0","MIT License"
"idna","3.6","BSD License"
"incremental","22.10.0","MIT License"
"jmespath","1.0.1","MIT License"
"jsonpatch","1.32","BSD License"
"jsonpointer","2.0","BSD License"
"jsonschema","4.10.3","MIT License"
"launchpadlib","1.11.0","GNU Library or Lesser General Public License (LGPL)"
"lazr.restfulclient","0.14.6","GNU Library or Lesser General Public License (LGPL)"
"lazr.uri","1.0.6","GNU Library or Lesser General Public License (LGPL)"
"markdown-it-py","3.0.0","MIT License"
"mdurl","0.1.2","MIT License"
"mercurial","6.7.2","GNU General Public License (GPL)"
"netaddr","0.8.0","BSD License; MIT License"
"netifaces","0.11.0","MIT License"
"oauthlib","3.2.2","BSD License"
"packaging","24.0","Apache Software License; BSD License"
"pexpect","4.9.0","ISC License (ISCL)"
"pipx","1.12.0","MIT"
"platformdirs","4.9.6","MIT"
"ptyprocess","0.7.0","ISC License (ISCL)"
"pyOpenSSL","23.2.0","Apache Software License"
"pyasn1","0.4.8","BSD License"
"pyasn1-modules","0.2.8","BSD License"
"pyparsing","3.1.1","MIT License"
"pyparted","3.12.0","GPLv2+"
"pyrsistent","0.20.0","MIT License"
"pyserial","3.5","BSD License"
"python-apt","2.7.7+ubuntu5.2","GNU GPL"
"python-dateutil","2.8.2","Apache Software License; BSD License"
"python-debian","0.1.49+ubuntu2","DFSG approved; GNU General Public License v2 or later (GPLv2+)"
"python-magic","0.4.27","MIT License"
"pytz","2024.1","MIT License"
"requests","2.31.0","Apache Software License"
"rich","13.7.1","MIT License"
"ruff","0.15.16","MIT"
"s3transfer","0.10.1","Apache Software License"
"service-identity","24.1.0","MIT"
"six","1.16.0","MIT License"
"sos","4.10.2","GPLv2+"
"ssh-import-id","5.11","GPLv3"
"systemd-python","235","GNU Lesser General Public License v2 or later (LGPLv2+)"
"ty","0.0.44","MIT License"
"typing_extensions","4.10.0","Python Software Foundation License"
"ubuntu-pro-client","8001","GPLv3"
"ufw","0.36.2","GPL-3"
"urllib3","2.0.7","MIT License"
"userpath","1.9.2","MIT"
"wadllib","1.3.6","GNU Library or Lesser General Public License (LGPL)"
"zope.interface","6.1","Zope Public License"
"zstandard","0.22.0","BSD License"
